variable,feature_role,categoria_claro,definicion,data_type,missing_count,unique_values,rationale
CLUSTER_ID,IDENTIFIER,Identificación & Demografía,Identificador del clúster al que pertenece el cliente en la segmentación.,int64,0,1,Metadato / identificador de corte temporal o grupo
PERIODO,IDENTIFIER,Identificación & Demografía,Periodo (mes) de corte de la información.,int64,0,1,Metadato / identificador de corte temporal o grupo
ESTRATO,PREDICTOR,Identificación & Demografía,Estrato socioeconómico del domicilio donde se instala el servicio.,float64,6,6,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
ANTIGUEDAD_MESES,PREDICTOR,Identificación & Demografía,"Antigüedad del cliente en la compañía, expresada en meses.",int64,0,280,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
BAN_TV,PREDICTOR,Servicios & Productos,Marca (1/0) que indica si el servicio de televisión está activo.,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
BAN_INTERNET,PREDICTOR,Servicios & Productos,Marca (1/0) que indica si el servicio de internet está activo.,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
BAN_VOZ,PREDICTOR,Servicios & Productos,Marca (1/0) que indica si el servicio de voz/telefonía está activo.,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VELOCIDAD_INTERNET_MBPS,PREDICTOR,Servicios & Productos,"Velocidad de internet contratada, en Mbps.",int64,0,36,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_SRV_BSC,PREDICTOR,Servicios & Productos,Número de productos/servicios fijos básicos activos.,int64,0,3,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
CANT_SRV_BSC,PREDICTOR,Servicios & Productos,Número de productos/servicios fijos básicos activos.,float64,1,5,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
CANT_SRV_ADIC,PREDICTOR,Servicios & Productos,Número de servicios adicionales contratados.,float64,1,19,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
BAN_T_RES_SALUD,PREDICTOR,Servicios & Productos,Marca (1/0) de servicio de salud activo.,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
BAN_TRES_MULTI,PREDICTOR,Servicios & Productos,Marca (1/0) de servicio Tres Multi activo.,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
BAN_MULTI_PETS,PREDICTOR,Servicios & Productos,Marca (1/0) de servicio Pets activo.,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
BAN_MULTI_HOGAR,PREDICTOR,Servicios & Productos,Marca (1/0) de servicio Multi Hogar activo.,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
BAN_NETFLIX,PREDICTOR,Servicios & Productos,Marca (1/0) de servicio Netflix activo.,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
BAN_DISNEY,PREDICTOR,Servicios & Productos,Marca (1/0) de servicio Disney+ activo.,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
BAN_PRIME,PREDICTOR,Servicios & Productos,Marca (1/0) de servicio Amazon Prime activo.,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
BAN_WIN,PREDICTOR,Servicios & Productos,Marca (1/0) de servicio Win activo.,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
BAN_HBO,PREDICTOR,Servicios & Productos,Marca (1/0) de servicio HBO/Max activo.,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
BAN_DECO_ADI,PREDICTOR,Equipos & Dispositivos (Hogar),Marca (1/0) que indica si hay decodificadores adicionales.,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_EQUIP_BAS,PREDICTOR,Equipos & Dispositivos (Hogar),Número de dispositivos básicos instalados.,float64,1,4,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_EQUIP_ADIC,PREDICTOR,Equipos & Dispositivos (Hogar),Número de dispositivos adicionales instalados.,float64,1,8,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
